produccion_toneladas,año,id_municipio,subregion
22335.0,2013,76054,Norte
959.0,2013,76109,Pacifico
4758.0,2013,76100,Norte
800.0,2013,76036,Centro
6322.0,2013,76041,Norte
5300.0,2013,76275,Sur
1176.0,2013,76306,Sur
30720.0,2013,76246,Norte
1680.0,2013,76250,Norte
2132.0,2013,76377,Sur
242.0,2013,76400,Norte
856.0,2013,76318,Centro
922.0,2013,76364,Sur
1960.0,2013,76113,Centro
22606.0,2013,76122,Centro
210.0,2013,76111,Centro
27600.0,2013,76233,Sur
6325.0,2013,76243,Norte
80.0,2013,76130,Sur
1353.0,2013,76126,Centro
1440.0,2013,76147,Norte
2760.0,2012,76863,Norte
3080.0,2012,76869,Sur
10774.0,2012,76845,Norte
7003.0,2012,76828,Centro
3776.0,2012,76834,Centro
82.0,2012,76895,Norte
8115.0,2012,76890,Centro
90.0,2012,76892,Sur
3487.0,2012,76606,Centro
10838.0,2012,76616,Centro
70.0,2012,76563,Sur
3480.0,2012,76497,Norte
1980.0,2012,76520,Sur
105000.0,2012,76736,Centro
2980.0,2012,76823,Norte
396.0,2012,76622,Norte
1413.0,2012,76670,Centro
144.0,2012,76001,Sur
1090.0,2012,76020,Norte
4784.0,2012,76100,Norte
994.0,2012,76109,Pacifico
5254.0,2012,76041,Norte
22080.0,2012,76054,Norte
1519.0,2012,76306,Sur
680.0,2012,76318,Centro
1022.0,2012,76250,Norte
4120.0,2012,76275,Sur
242.0,2012,76400,Norte
1722.0,2012,76403,Norte
662.0,2012,76364,Sur
2161.0,2012,76377,Sur
15622.0,2012,76122,Centro
1269.0,2012,76126,Centro
6300.0,2012,76111,Centro
1960.0,2012,76113,Centro
4410.0,2012,76243,Norte
42080.0,2012,76246,Norte
3952.0,2012,76233,Sur
70.0,2012,76130,Sur
1422.0,2012,76147,Norte
1836.0,2011,76863,Norte
1001.0,2011,76869,Sur
7992.0,2011,76890,Centro
3672.0,2011,76834,Centro
9638.0,2011,76845,Norte
180.0,2011,76892,Sur
136.0,2011,76895,Norte
10804.0,2011,76616,Centro
2160.0,2011,76520,Sur
3229.0,2011,76606,Centro
70.0,2011,76563,Sur
237.0,2011,76622,Norte
2990.0,2011,76823,Norte
6795.0,2011,76828,Centro
